SpID,Grupo taxonómico,Familia,Genero,Especie,Sinonimia,Habito,Origen,Estado de conservacion,Regiones_Biogeograficas,Elevacion_Minima,Elevacion_Maxima
1,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra acanthus,Aphelandra gilva Leonard  Aphelandra phobera Leonard  Aphelandra quercifolia Nees,Arbusto Arbolito,Nativa,No Evaluada,Andes,2000m,3400m
2,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra albert-smithii,,Arbusto,Nativa,No Evaluada,Valle del Magdalena,340m,700m
3,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra ameleta,,Arbusto,Nativa,No Evaluada,Amazonia,150m,300m
4,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra aristei,,Arbusto,Nativa,No Evaluada,Andes,1500m,1500m
5,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra barkleyi,,Subarbusto  Arbusto,Nativa,No Evaluada,Andes  Valle del Magdalena,170m,1050m
6,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra blandii,,Arbusto  Arbolito,Nativa,No Evaluada,Andes,230m,2700m
7,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra boyacensis,,Arbusto,Nativa,No Evaluada,Andes  Valle del Magdalena,325m,1524m
8,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra chaponensis,Aphelandra atecmarta Leonard,Arbusto,Nativa,No Evaluada,Andes,780m,2250m
9,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra cirsioides,,Arbusto,Nativa,No Evaluada,Andes,3000m,3000m
10,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra crenata,,Subarbusto  Arbusto,Nativa,No Evaluada,Amazonia  Guayana y Serrania de La Macarena  Pacifico  Valle del Magdalena,0m,1000m
11,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra cuatrecasasii,Aphelandra crauca Leonard  Aphelandra killipii Leonard,Hierba  Subarbusto  Arbusto,Nativa,No Evaluada,Pacifico,5m,250m
12,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra dolichantha,,Subarbusto  Arbusto,Nativa,No Evaluada,Pacifico,300m,300m
13,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra euopla,,Arbusto,Nativa,No Evaluada,Andes,3300m,3320m
14,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra fernandezii,,Hierba  Arbusto,Nativa,No Evaluada,Pacifico,0m,1800m
15,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra flava,Aphelandra anomala Leonard  Aphelandra fuscopunctata Markgr.,Subarbusto  Arbusto,Nativa,No Evaluada,Andes,500m,1750m
16,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra garciae,,Subarbusto  Arbusto,Nativa,No Evaluada,Andes  Pacifico,0m,1150m
17,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra glabrata,Aphelandra daemonia Leonard  Aphelandra pulcherrima sensu Wassh.p.p.(1975)  Aphelandra sericophylla Leonard,Subarbusto  Arbusto,Nativa,Preocupacion Menor,Andes  Llanura del Caribe  Valle del Cauca  Valle del Magdalena,400m,1050m
18,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra grandis,Aphelandra trichota Leonard,Arbusto,Nativa,No Evaluada,Andes  Valle del Magdalena,100m,1800m
19,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra grangeri,,Arbusto,Nativa,No Evaluada,Andes,3200m,3510m
20,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra hartwegiana,,Subarbusto  Arbusto  Arbolito,Nativa,No Evaluada,Andes  Llanura del Caribe  Pacifico  Valle del Cauca  Valle del Magdalena,5m,1465m
21,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra haughtii,,Arbusto,Nativa,No Evaluada,Valle del Magdalena,100m,475m
